target,unique_players
stage_retry,35
stage_next,30
stage_menu,28
stage_preview_close,26
stage_card_open,26
stages_back,25
play_start,24
settings_open,21
settings_close,17
stats_open,15
stats_close,14
settings_tab_view,14
practice_start,12
stages_page_next,12
stats_leaderboard_view,9
stage_leaderboard_open,9
stage_leaderboard_close,9
stats_leaderboard_close,9
stats_leaderboard_open,9
achievements_open,8
achievements_close,8
stages_page_prev,8
practice_back,8
stats_leaderboard_tab_view,8
appearance_shuffle,5
practice_retry,5
achievement_detail_close,3
fullscreen_toggle,3
achievement_detail_open,3
practice_settings_open,3
content_reset_notice_open,1
main_menu_title,1
content_reset_notice_close,1
